District,Year,Season,Crop,Area,Production,Productivity
AMRAVATI,2001,Kharif     ,Bajra,1000,400,0.4
AMRAVATI,2001,Kharif     ,Jowar,109000,152800,1.401834862
AMRAVATI,2001,Kharif     ,Soyabean,153200,143600,0.937336815
AMRAVATI,2001,Rabi       ,Jowar,100,100,1
AMRAVATI,2001,Whole Year ,Sugarcane,3000,204100,68.03333333
AMRAVATI,2002,Kharif     ,Bajra,800,500,0.625
AMRAVATI,2002,Kharif     ,Jowar,102900,144000,1.39941691
AMRAVATI,2002,Kharif     ,Soyabean,156500,150000,0.958466454
AMRAVATI,2002,Rabi       ,Jowar,100,100,1
AMRAVATI,2002,Whole Year ,Sugarcane,2300,124000,53.91304348
AMRAVATI,2003,Kharif     ,Bajra,800,400,0.5
AMRAVATI,2003,Kharif     ,Jowar,100200,143100,1.428143713
AMRAVATI,2003,Kharif     ,Soyabean,155000,216100,1.394193548
AMRAVATI,2003,Rabi       ,Jowar,100,100,1
AMRAVATI,2003,Whole Year ,Sugarcane,2500,155300,62.12
AMRAVATI,2004,Kharif     ,Bajra,700,400,0.571428571
AMRAVATI,2004,Kharif     ,Jowar,92800,88700,0.955818966
AMRAVATI,2004,Rabi       ,Soyabean,167100,80000,0.478755236
AMRAVATI,2004,Whole Year ,Sugarcane,1400,58700,41.92857143
AMRAVATI,2005,Kharif     ,Bajra,300,100,0.333333333
AMRAVATI,2005,Kharif     ,Soyabean,181200,204400,1.12803532
AMRAVATI,2005,Kharif     ,Sugarcane,1100,72500,65.90909091
AMRAVATI,2006,Kharif     ,Bajra,200,100,0.5
AMRAVATI,2006,Kharif     ,Jowar,94700,111500,1.177402323
AMRAVATI,2006,Kharif     ,Soyabean,216700,323600,1.493308722
AMRAVATI,2007,Kharif     ,Bajra,2,1,0.5
AMRAVATI,2007,Kharif     ,Jowar,779,1058,1.358151476
AMRAVATI,2007,Kharif     ,Soyabean,2858,4857,1.699440168
AMRAVATI,2007,Whole Year ,Sugarcane,12,959,79.91666667
AMRAVATI,2008,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2008,Kharif     ,Jowar,40300,36700,0.910669975
AMRAVATI,2008,Kharif     ,Soyabean,373000,124200,0.332975871
AMRAVATI,2008,Kharif     ,Sugarcane,800,44500,55.625
AMRAVATI,2008,Whole Year ,Sugarcane,800,43900,54.875
AMRAVATI,2009,Kharif     ,Bajra,200,200,1
AMRAVATI,2009,Kharif     ,Jowar,49100,52700,1.073319756
AMRAVATI,2009,Kharif     ,Soyabean,317600,256900,0.808879093
AMRAVATI,2009,Kharif     ,Sugarcane,200,14000,70
